Concelho;A;ADN;B.E.;CDS-PP;CH;E;EMBRANCO;IL;JPP;L;MAS;MPT;NC;NULOS;PAN;PCP-PEV;PCTP/MRPP;PPD/PSD;PPD/PSD.CDS-PP;PPD/PSD.CDS-PP.PPM;PPM;PS;PTP;R.I.R.;VP
ABRANTES;;;5.41;1.32;10.82;0.12;1.27;2.15;;0.79;0.15;0.1;;1.15;0.96;4.85;;21.07;;;;48.95;0.09;0.63;0.15
AGUEDA;;0.15;3.94;2.82;7.27;0.1;1.57;3.61;0.04;0.49;0.1;0.1;;0.89;0.85;1.4;0.37;37.3;;;;38.55;;0.36;0.09
AGUIAR DA BEIRA;;;2.01;3.2;6.28;0.22;1.28;1.54;;0.26;0.15;0.27;;0.89;0.72;0.41;;44.58;;;;37.56;0.08;0.34;0.19
ALANDROAL;;;2.46;0.57;9.96;0.1;1.06;1.3;;0.27;0.0;0.09;;0.67;0.52;14.62;;12.8;;;;54.86;0.05;0.36;0.32
ALBERGARIA-A-VELHA;;0.21;3.67;6.41;7.39;0.03;1.34;3.24;0.03;0.65;0.08;0.15;;0.92;1.08;1.52;0.32;32.82;;;;39.49;;0.57;0.06
ALBUFEIRA;;0.7;5.11;1.14;15.14;0.14;1.29;5.38;;0.85;0.13;0.18;;1.18;2.46;3.43;;25.29;;;;36.87;0.15;0.46;0.09
ALCACER DO SAL;;0.13;3.21;1.37;5.9;0.01;0.84;1.49;0.08;0.48;0.02;0.1;0.12;1.44;0.67;22.63;1.12;9.07;;;;50.92;0.07;0.29;0.04
ALCANENA;;;3.71;1.84;8.67;0.12;1.78;4.14;;0.85;0.1;0.24;;0.92;0.84;4.28;;30.98;;;;40.46;0.13;0.74;0.2
ALCOBACA;;0.26;3.84;2.24;8.35;0.09;1.51;4.72;;0.89;0.08;0.09;0.33;1.41;1.14;2.91;;35.04;;;;36.42;0.04;0.54;0.09
ALCOCHETE;;0.36;4.67;1.58;10.12;0.03;1.2;6.84;0.09;1.37;0.05;0.08;0.05;0.64;1.79;8.24;0.43;21.09;;;;40.98;0.03;0.29;0.08
ALCOUTIM;;0.52;1.91;0.92;6.28;0.1;1.58;1.22;;0.28;0.05;0.04;;1.64;0.3;4.84;;33.44;;;;46.49;0.09;0.28;0.05
ALENQUER;0.06;0.13;4.32;1.68;9.55;0.02;1.04;3.47;0.16;1.03;0.08;0.08;0.07;0.77;1.27;7.01;0.94;20.87;;;;46.86;0.06;0.47;0.06
ALFANDEGA DA FE;;;2.19;2.2;6.85;0.15;0.73;1.01;;0.12;0.04;0.1;;0.92;0.54;1.2;;36.3;;;;47.46;;0.18;
ALIJO;;;1.69;2.08;6.95;0.07;0.98;1.81;;0.58;0.29;0.07;0.15;1.48;0.74;1.82;;37.18;;;;43.49;;0.57;0.04
ALJEZUR;;0.56;5.38;1.28;8.16;0.09;1.69;3.32;;0.84;0.41;0.28;;1.46;2.36;7.9;;21.33;;;;44.27;0.2;0.46;0.0
ALJUSTREL;;;3.47;0.56;8.22;0.04;0.57;1.0;;0.4;0.12;0.05;;0.84;0.42;27.25;0.92;7.11;;;;48.64;0.07;0.1;0.21
ALMADA;;0.32;5.87;1.14;7.6;0.08;0.9;5.71;0.05;1.76;0.08;0.13;0.06;0.8;2.29;8.83;0.43;17.46;;;;46.0;0.07;0.3;0.14
ALMEIDA;;;3.01;3.06;9.56;0.31;1.26;1.81;;0.5;0.08;0.04;;1.51;0.2;1.97;;32.31;;;;43.5;0.11;0.62;0.15
ALMEIRIM;;;3.7;1.12;12.41;0.1;1.05;2.9;;0.71;0.2;0.12;;1.1;0.62;6.21;;17.9;;;;51.19;0.03;0.56;0.07
ALMODOVAR;;;4.12;0.12;8.0;0.16;0.95;1.14;;0.64;0.02;0.34;;1.66;0.68;5.29;0.34;20.24;;;;55.5;0.04;0.44;0.32
ALPIARCA;;;4.28;0.71;7.98;0.03;1.18;3.4;;0.63;0.08;0.05;;0.74;0.79;20.01;;13.87;;;;45.97;0.03;0.16;0.08
ALTER DO CHAO;;;3.0;1.31;8.55;0.35;0.45;0.85;;0.41;0.0;0.15;;0.5;0.39;11.68;0.99;20.86;;;;50.38;0.0;0.14;0.0
ALVAIAZERE;;0.04;2.09;2.19;11.25;0.02;0.7;2.02;;0.54;0.02;0.04;0.12;1.41;0.53;0.82;;51.69;;;;26.13;0.08;0.31;0.0
ALVITO;;;3.56;0.26;12.99;0.1;1.52;2.39;;0.82;0.2;0.0;;1.08;0.9;14.19;0.9;16.6;;;;43.96;0.0;0.16;0.38
AMADORA;0.07;0.26;5.02;1.28;7.58;0.06;0.9;5.9;0.07;2.07;0.16;0.14;0.07;0.92;2.01;5.75;0.5;19.73;;;;47.09;0.06;0.24;0.12
AMARANTE;0.05;0.09;2.7;1.8;3.85;0.11;0.96;2.26;0.06;0.64;0.06;0.08;0.13;1.09;0.68;1.51;;34.31;;;;48.71;0.05;0.83;0.05
AMARES;0.02;;2.3;3.09;7.78;0.06;1.68;3.47;0.1;0.4;0.08;0.1;;0.7;0.97;1.35;;37.71;;;;39.58;0.14;0.41;0.07
ANADIA;;0.15;3.6;2.62;6.62;0.04;1.72;4.3;0.07;0.65;0.08;0.14;;0.93;1.06;1.21;0.43;42.62;;;;33.19;;0.49;0.1
ANGRA DO HEROISMO;;0.38;3.72;;4.82;0.02;2.38;3.74;;0.75;0.06;0.14;;0.87;0.86;1.11;0.31;;;36.35;;44.25;;0.17;0.06
ANSIAO;;0.19;2.4;1.72;7.03;0.12;1.22;2.42;;0.68;0.05;0.08;0.02;1.22;0.62;1.52;;42.32;;;;37.86;0.13;0.39;0.02
ARCOS DE VALDEVEZ;0.11;;1.71;2.37;4.22;0.1;1.21;1.81;;0.37;0.1;0.24;;0.92;0.59;1.27;;42.96;;;;41.45;;0.37;0.19
ARGANIL;0.41;;2.55;1.1;5.27;0.04;1.54;1.94;;0.52;0.08;0.09;;1.45;0.77;1.72;0.32;31.43;;;;50.34;;0.34;0.08
ARMAMAR;;0.07;1.82;4.18;7.41;0.17;0.59;2.54;;0.52;0.11;0.18;0.03;1.55;0.7;2.32;;42.14;;;;34.83;0.08;0.5;0.27
AROUCA;;0.1;2.3;2.93;4.22;0.1;1.32;2.19;0.02;0.38;0.08;0.05;;1.07;0.49;0.87;0.4;44.83;;;;37.63;;0.89;0.12
ARRAIOLOS;;;2.58;0.59;8.26;0.08;1.4;2.27;;0.54;0.04;0.11;;1.36;0.7;23.98;;14.73;;;;42.88;0.0;0.39;0.09
ARRONCHES;;;1.75;1.69;12.84;0.0;1.29;2.5;;0.67;0.1;0.1;;0.6;0.67;5.83;0.6;29.88;;;;41.3;0.03;0.14;0.0
ARRUDA DOS VINHOS;0.07;0.2;3.76;1.19;9.24;0.09;0.87;5.82;0.03;1.44;0.2;0.13;0.08;1.05;1.48;4.03;0.3;25.16;;;;44.25;0.06;0.55;0.01
AVEIRO;;0.16;5.61;2.46;7.09;0.08;1.41;5.35;0.06;1.08;0.12;0.1;;0.93;1.57;1.93;0.34;33.81;;;;37.42;;0.35;0.12
AVIS;;;1.62;0.49;8.76;0.0;1.4;0.92;;0.22;0.03;0.03;;0.83;0.19;32.78;1.5;13.06;;;;38.02;0.0;0.12;0.04
AZAMBUJA;0.07;0.19;5.39;1.13;10.16;0.12;1.14;3.72;0.08;1.68;0.21;0.11;0.03;0.99;1.0;7.94;0.84;19.02;;;;45.62;0.06;0.43;0.06
BAIAO;0.02;0.04;1.8;1.29;4.11;0.16;0.39;1.23;0.03;0.23;0.03;0.05;0.19;1.19;0.51;1.04;;30.97;;;;56.15;0.06;0.47;0.03
BARCELOS;0.04;;2.92;1.94;6.34;0.1;1.28;3.34;0.11;0.6;0.12;0.09;;0.84;0.87;1.3;;43.57;;;;35.98;0.11;0.38;0.07
BARRANCOS;;;2.13;1.28;11.66;0.0;1.71;1.28;;0.71;0.0;0.0;;1.0;0.28;20.63;0.43;16.64;;;;42.11;0.0;0.0;0.14
BARREIRO;;0.26;5.1;0.79;8.04;0.07;0.89;4.07;0.04;1.37;0.12;0.1;0.06;0.79;1.85;13.71;0.62;12.87;;;;48.81;0.02;0.32;0.12
